Statement Analysis
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Max Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Temp. Tables (#),Temp. Disk Tables (#),Rows Sorted (#),Sort Merge Passes (#),Digest
SHOW GLOBAL STATUS,*,694,0,0,2327679.00,6147.40,3354.00,342836,494.0,342836,494.0,694,0,0,0,070e38632eb4444e50cdcbf0b17474ba801e203add89783a24584951442a2317
"CREATE TABLE `customer` ( `customer_id` INT8 , `customer_name` TEXT , `email` TEXT , `join_date` DATETIME )",,6,0,0,155162.20,30661.00,25860.30,0,0.0,0,0.0,0,0,0,0,c87eb54ffc5b86315ac27601afeb6a0875cdf328fe933a6cb1a5c84f9b804d38
"ALTER TABLE `shopeaze` . `customer` CHANGE COLUMN `id` `id` INT8 NOT NULL AUTO_INCREMENT , ADD PRIMARY KEY ( `id` ) , ADD UNIQUE INDEX `id_UNIQUE` ( `id` ASC ) VISIBLE",,1,0,0,149622.90,149622.90,149622.90,0,0.0,0,0.0,0,0,0,0,7dde37b57daac0daccf48785dfb80c4a9465d178fd2297cdb7afb962cfe0514d
SHOW FULL FIELDS FROM `shopeaze` . `customer`,,34,0,0,132736.10,6068.90,3904.00,136,4.0,747,22.0,34,0,136,0,674580957ba1f6312b4e8c65ea14b1e8e09efc31a6327fe34f9698ab1b419f31
"CREATE TABLE `inventory` ( `product_name` TEXT , `stock_quantity` INT8 , `stock_date` TEXT , `supplier` TEXT , `warehouse_location` TEXT )",,4,0,0,127691.40,69319.00,31922.80,0,0.0,0,0.0,0,0,0,0,976b526124a3350bdb103289bdb4dad5abbe57cce808412ac07cfe316e626c55
COMMIT,,31,0,0,122902.30,17771.40,3964.50,0,0.0,0,0.0,0,0,0,0,f2b9be5f0f32ca7507e4ddf133cd2fad0993a1c26fde9caa6f067b1af2b7603c
SHOW FULL FIELDS FROM `shopeaze` . `orders`,,34,0,0,121398.00,5125.40,3570.50,306,9.0,1427,42.0,34,0,306,0,ae19430737e44dccbb2169346f9cbcee78a0a5a78b70e29a5be0a58a7d8847d1
"ALTER TABLE `shopeaze` . `orders` CHANGE COLUMN `id` `id` INT8 NOT NULL AUTO_INCREMENT , ADD PRIMARY KEY ( `id` ) , ADD UNIQUE INDEX `id_UNIQUE` ( `id` ASC ) VISIBLE",,1,0,0,111008.20,111008.20,111008.20,0,0.0,0,0.0,0,0,0,0,e5720bc3d822c237642bc79af6b7a568e2e7807ba68774fc2add687c35232efb
"INSERT INTO `order_items` ( `order_detail_id` , `order_id` , `quantity` , `product_id` ) VALUES (...) /* , ... */",,4,0,0,109709.50,41412.60,27427.30,0,0.0,0,0.0,0,0,0,0,920068ceb29d391adcf080d3fadf0bd17b87741c72eab415b680a7862a8ddf10
DROP TABLE `customer`,,5,0,0,106632.00,27775.50,21326.40,0,0.0,0,0.0,0,0,0,0,09f95ce7044446424c6defa5f11a8ab2256ff1936ab0b1ae3cb10475d22fc341
SHOW FULL TABLES FROM `shopeaze`,,63,0,0,105309.10,4630.00,1671.50,419,7.0,1383,22.0,0,0,419,0,924f69cf6ae0dd30fe7b6bf6f364b03780fa8f14e62d6567c502a5b3168fb35e
"ALTER TABLE `shopeaze` . `products` CHANGE COLUMN `id` `id` INT8 NOT NULL AUTO_INCREMENT , ADD PRIMARY KEY ( `id` ) , ADD UNIQUE INDEX `id_UNIQUE` ( `id` ASC ) VISIBLE",,1,0,0,99597.70,99597.70,99597.70,0,0.0,0,0.0,0,0,0,0,12e2833203eca4e79e33ce00029a2d6dd6cef4a16fa7a01f49c595ba16de0873
"CREATE TABLE `order_items` ( `order_detail_id` INT8 , `order_id` INT8 , `quantity` INT8 , `product_id` INT8 )",,4,0,0,78692.90,24758.60,19673.20,0,0.0,0,0.0,0,0,0,0,f450a0dab40b0c743353efe4c13bd303a18072adbcacd76a3ecfc57e2673db57
SHOW PROCEDURE STATUS WHERE `Db` = ?,,29,0,0,77813.70,5101.80,2683.20,0,0.0,58,2.0,0,0,0,0,cbc301da493d6b465340bd346910730ee04459290e7cb9d392d71de4e8fea677
SHOW FULL FIELDS FROM `shopeaze` . `inventory`,,21,0,0,76204.30,6449.60,3628.70,105,5.0,546,26.0,21,0,105,0,d00eb53197cb3bc609e0bd30f7adc582a2e47713a68a6e0c4aa29479803a1205
SHOW SESSION VARIABLES LIKE ?,*,29,0,0,73970.50,8160.20,2550.70,29,1.0,29,1.0,29,0,0,0,6935f3922a42d8845977364d3d83d2ad4e11a53295dfeca9d0d08403bff33250
SELECT * FROM `sys` . `statements_with_full_table_scans`,*,2,0,0,73695.90,53993.50,36847.90,86,43.0,547,274.0,0,0,86,0,b41c0a68ab6d70f8b189081a2f6b985613bac905784b6ed1d2ca895e0e9a43e0
SHOW FULL FIELDS FROM `shopeaze` . `products.csv`,,26,0,0,73470.60,4934.40,2825.70,104,4.0,572,22.0,26,0,104,0,6b988130660351939c42833f3093a88adcc4a0f90e29612ac991f3abed2f03be
DROP TABLE `inventory`,,4,0,0,71900.80,29678.50,17975.20,0,0.0,0,0.0,0,0,0,0,9c80e84e915ea33eb771d5f714244823ed4449c3e1b1d5d75452870f678bb564
SHOW FUNCTION STATUS WHERE `Db` = ?,,29,0,0,70795.80,3696.70,2441.20,0,0.0,58,2.0,0,0,0,0,1023723dae12e40234921687402e70f60d7a8b233a3da73a4e46b38e0feb23a9
SHOW FULL FIELDS FROM `shopeaze` . `products`,,21,0,0,66171.60,4449.40,3151.00,84,4.0,461,22.0,21,0,84,0,0e5b422557b70c08da42f56199e89431a62753abe29cb20ffe2721acb1dd7c30
"CREATE TABLE `orders` ( `order_id` INT8 , `customer_id` INT8 , `order_date` DATETIME , `product_id` INT8 , `quantity` INT8 , `order_sum` FLOAT4 (?) , YEAR INTEGER , SQL_TSI_MONTH INTEGER , SQL_TSI_DAY INTEGER )",,3,0,0,65500.60,28397.00,21833.50,0,0.0,0,0.0,0,0,0,0,6bd7fc5c7144d973bf779d81128413d0fe9403a8ea9678cfc9ca269a70f14403
DROP TABLE `orders`,,4,0,0,62402.80,21763.00,15600.70,0,0.0,0,0.0,0,0,0,0,63daf18cc2cc9881bd0ff53fc1e64af0ab5d9b60ce3fe1b8c68354e48e60ff16
"CREATE TABLE `combined_table` AS SELECT `c` . `id` AS `customer_customer_id` , `c` . `customer_name` , `c` . `email` , `c` . `join_date` , `o` . `id` AS `order_order_id` , `o` . `customer_id` AS `order_customer_id` , `o` . `order_date` , `o` . `product_id` AS `order_product_id` , `o` . `quantity` , `o` . `order_sum` , `p` . `id` AS `product_product_id` , `p` . `product_name` , `p` . `category` , `p` . `price` FROM `customer` `c` JOIN `orders` `o` ON `o` . `customer_id` = `c` . `id` JOIN `products` `p` ON `p` . `id` = `o` . `product_id`",*,1,0,0,62357.40,62357.40,62357.40,0,0.0,720,720.0,0,0,0,0,d9ad273619c07c3b381ba1efd451e58bce4aab2091f8fa365602e45e16336044
DROP TABLE `order_items`,,4,0,0,62005.90,18875.60,15501.40,0,0.0,0,0.0,0,0,0,0,94387a6d2b31a2d4ff0e94370e8237aa3b6d2a510d3f97887066cc195fa8e3bb
SHOW FULL FIELDS FROM `shopeaze` . `suppliers_data`,,17,0,0,61132.60,5180.50,3596.00,187,11.0,850,50.0,17,0,187,0,69c429ef545a38192e993899886368b26f3fe3f1c2ffb943afb058f0470a7bb0
SHOW INDEXES FROM `shopeaze` . `customer`,,17,0,0,58372.30,6000.40,3433.60,2,0.0,209,12.0,17,0,2,0,39b63accc7a6bda035092fb5e5fec21d2f5f0c66ddda53aa1e7dfbf22bf5255a
SHOW FULL FIELDS FROM `shopeaze` . `order_items`,,17,0,0,56061.00,5279.20,3297.70,68,4.0,374,22.0,17,0,68,0,d0f4fbdb53ea85f1e3bd888c2f95296a4e7c82cd8a2a4f71b522b8cae1a282ed
"INSERT INTO `orders` ( `order_id` , `customer_id` , `order_date` , `product_id` , `quantity` , `order_sum` , YEAR , SQL_TSI_MONTH , SQL_TSI_DAY ) VALUES (...) /* , ... */",,3,0,0,55081.60,25687.70,18360.50,0,0.0,0,0.0,0,0,0,0,19329f2fecf18077e6ae46174106306e3650dd2050e82d27badec0726d0cfe20
"CREATE TABLE `products` ( `product_id` INT8 , `product_name` TEXT , `category` TEXT , `price` FLOAT4 (?) )",,2,0,0,53060.90,28025.10,26530.40,0,0.0,0,0.0,0,0,0,0,e471d58b040542d5c5a052b0d76ed6b1c717b9425b363608f778aba2a033aaa6
"CREATE TABLE `suppliers_data` ( `supplier_name` TEXT , `supplier_address` TEXT , `email` TEXT , `contact_number` INT8 , `fax` INT8 , `account_number` INT8 , `order_history` INT8 , `contract` TEXT , `supplier_country` TEXT , `supplier_city` TEXT , `country_code` INT8 )",,2,0,0,52558.80,32665.40,26279.40,0,0.0,0,0.0,0,0,0,0,6b941d8d7751bfe6e00e6374f832d7a3c6c5fbb8b01404626cc8130c0fb3f60f
"INSERT INTO `suppliers_data` ( `supplier_name` , `supplier_address` , `email` , `contact_number` , `fax` , `account_number` , `order_history` , `contract` , `supplier_country` , `supplier_city` , `country_code` ) VALUES (...) /* , ... */",,2,0,0,51033.30,28037.70,25516.60,0,0.0,0,0.0,0,0,0,0,0f88657f28e2104b5085df0bc0aa262c085b854641927d661e9cbd57a85f4756
"CREATE TABLE `products.csv` ( `product_id` INT8 , `product_name` TEXT , `category` TEXT , `price` FLOAT4 (?) )",,2,0,0,47429.70,30685.90,23714.80,0,0.0,0,0.0,0,0,0,0,ccbd9ed27d0b3cf819037ccb14a9b5d8ff73644298f8f44715765db405ac42c6
SHOW INDEXES FROM `shopeaze` . `orders`,,17,0,0,43730.90,4969.10,2572.40,2,0.0,294,17.0,17,0,2,0,74352ed66e2b8bdde0b4c0de61832094281117d8cd6aefdc7d56d042b1d0b4c5
"INSERT INTO `inventory` ( `product_name` , `stock_quantity` , `stock_date` , `supplier` , `warehouse_location` ) VALUES (...) /* , ... */",,4,0,0,42187.00,17604.50,10546.70,0,0.0,0,0.0,0,0,0,0,c3b15526a56ba7a5420c7f4312a8b3e18abbb7505928733499df6db922e183c1
"CREATE TABLE `suppliers_data.csv` ( `supplier_name` TEXT , `supplier_address` TEXT , `email` TEXT , `contact_number` INT8 , `fax` INT8 , `account_number` INT8 , `order_history` INT8 , `contract` TEXT , `supplier_country` TEXT , `supplier_city` TEXT , `country_code` INT8 )",,2,0,0,40872.90,25173.50,20436.40,0,0.0,0,0.0,0,0,0,0,19b4c4929db77ba429679b65406f6d7551d69eabd9fd1f18eadf2ec82bd1eb37
SELECT * FROM `sys` . `x$statements_with_runtimes_in_95th_percentile`,*,1,0,0,40592.90,40592.90,40592.90,11,11.0,625,625.0,6,0,22,0,d26ebe100c5f64cbc8cf0cf089de3554565d3bf1811142f63ab36239e8f33940
"INSERT INTO `suppliers_data.csv` ( `supplier_name` , `supplier_address` , `email` , `contact_number` , `fax` , `account_number` , `order_history` , `contract` , `supplier_country` , `supplier_city` , `country_code` ) VALUES (...) /* , ... */",,2,0,0,40495.30,22559.70,20247.60,0,0.0,0,0.0,0,0,0,0,0708bd8d18fac5ca7ff70a09767962bb6b17d34aebb82e45f6bdc7e46e8d901b
SHOW VARIABLES,*,13,0,0,40260.80,4514.90,3096.90,8541,657.0,8541,657.0,13,0,0,0,9959c56ef11ca3c143a80d199705b5128cb5dfbbdc967225c4bd603595738aab
SHOW SESSION VARIABLES LIKE ?,*,21,0,0,38887.20,6011.30,1851.70,21,1.0,21,1.0,21,0,0,0,6935f3922a42d8845977364d3d83d2ad4e11a53295dfeca9d0d08403bff33250
SHOW FULL FIELDS FROM `shopeaze` . `suppliers_data.csv`,,14,0,0,38076.70,4079.70,2719.70,154,11.0,700,50.0,14,0,154,0,6a460f63658191df5866b47aae7dc35650b962e870cd1b560e9e6934102ef00a
SHOW FULL TABLES FROM `shop`,,12,0,0,35791.00,4784.60,2982.50,0,0.0,24,2.0,0,0,0,0,0257f53b534144f0c5fc366733ca10fbb514d8f6175cd6df3ffab10867e25ec9
DROP TABLE `products.csv`,,2,0,0,31806.50,16808.80,15903.20,0,0.0,0,0.0,0,0,0,0,4ad7d039227cd7eecc394fb3a74f37fd861a372805aa440d745cae18debc4430
DROP TABLE `suppliers_data.csv`,,2,0,0,31215.20,20261.90,15607.60,0,0.0,0,0.0,0,0,0,0,991c002f326b84c4f3f8dec0c1e9ef11952f53cf8143259c5ee0b1ee0ec02607
"SELECT `TABLE_COMMENT` ? , TABLE_NAME ? , `TABLE_ROWS` ? , `AUTO_INCREMENT` ? , ROW_FORMAT ? , `DATA_LENGTH` ? , `INDEX_LENGTH` ? , `TABLE_COLLATION` ? , `TABLE_TYPE` ? , `ENGINE` ENGINE FROM `information_schema` . `TABLES` WHERE `TABLE_SCHEMA` = ? AND `TABLE_TYPE` != ? ORDER BY TABLE_NAME",,1,0,0,30713.60,30713.60,30713.60,16,16.0,68,68.0,0,0,16,0,104b2eda49e801dc52d5b580acce9c6c936000f8429e7d812d3998e5e8832c29
SELECT `st` . * FROM `performance_schema` . `events_statements_current` `st` JOIN `performance_schema` . `threads` `thr` ON `thr` . `thread_id` = `st` . `thread_id` WHERE `thr` . `processlist_id` = ?,,47,0,0,29942.00,3605.70,637.00,47,1.0,94,2.0,0,0,0,0,b31742f7d23c9cd7e41466837a9bf595201427497601718ac456e68040146a54
SHOW INDEXES FROM `shopeaze` . `products.csv`,,13,0,0,29260.20,3703.90,2250.70,0,0.0,156,12.0,13,0,0,0,1ca95b6b099a4503fc20fc1a7b164d4a2a01e410816b79921bd5ce617945aa5f
ALTER TABLE `customer` RENAME COLUMN `customer_id` TO `id`,,5,4,0,28280.90,23504.70,5656.10,0,0.0,0,0.0,0,0,0,0,31a84a43ba7798bc4ece8bb978b163918e8b3ae4cee9ecc38d0744877bdfa2f6
SELECT * FROM `sys` . `x$statement_analysis`,*,1,0,0,26676.70,26676.70,26676.70,208,208.0,416,416.0,0,0,208,0,a73ba6fb00ff15934a92d3c84bc681dcf6a8abae61a447a0ea21d80030498246
SHOW SCHEMAS,*,22,0,0,25559.90,3150.30,1161.80,176,8.0,726,33.0,0,0,176,0,dbea8921b559b8cdd4976d57d70304daa8a242fbbfe6df94427006b54ead6b0f
SHOW FULL FIELDS FROM `shopeaze` . `combined_table`,,5,0,0,23960.20,7241.10,4792.00,70,14.0,310,62.0,5,0,70,0,588a36235c2cf98a40d90a3f4f630147ccc8f020dee015e3c47eec88fa20244a
DROP TABLE `shopeaze` . `suppliers_data.csv`,,1,0,0,22915.60,22915.60,22915.60,0,0.0,0,0.0,0,0,0,0,ab3fb6d79dd2d6f38c13f2010da55ec2bcb11b2349ad430ba0ae5dd0cd5cd294
DROP TABLE `products`,,1,0,0,22824.90,22824.90,22824.90,0,0.0,0,0.0,0,0,0,0,fc4d65e9c53fff7eddb4784686067f4f7af40af1247aa8ffc3ba64d78757cc21
SHOW FULL FIELDS FROM `shopeaze` . `customer`,,6,0,0,22070.00,6643.40,3678.30,24,4.0,132,22.0,6,0,24,0,674580957ba1f6312b4e8c65ea14b1e8e09efc31a6327fe34f9698ab1b419f31
DROP TABLE `shopeaze` . `products.csv`,,1,0,0,21582.60,21582.60,21582.60,0,0.0,0,0.0,0,0,0,0,39bc5589e366f3018be2526435c24f24cd4de1397b8f185ee98e2f2390bd7624
